Clean_Reviews,Sentiment_label
stuff and design was totally changed cheap quality not satisfied,0
i got my parcel before time sorry for late review but the cap is amazing and it looks so classy and awesome thank you so much,2
so far so good bought it only because it has the name makute big fan of the product and the company keep up the good work daraz pk making a big difference in these difficult times,2
received as described but not suitable such hard things for ear cleaning,1
received on time and in a safely packed box the product is way more better than my expectations love the dual color combination its quite big in size compare to the local market ones and totally worth the price,2
satisfied star struck,2
seller is very cooperative plus sent the same bodysuit dress as i mentioned to them much thankful,2
checked this device in cars at a time but not working in any one any how i was ordered for honda vezel but working in honda vezel,0
good quality and fresh at given time,2
not fresh very small,0
good condition but one airpod isn t working,1
they were all sticked to each other and there were around pieces only,0
quality is acceptable but product picture and received product with minor changes its tyre did not match ordered cycle tyre looks good but received looks shabby,1
it s a fake watch doesn t have button to on it bluddy scammer,0
good,2
quality is ok for the price but if you want good quality then i donot recommend this product,1
i am happy,2
bohat ajeeb hain return bhi nhi ho rhi koi achay colour nhi hain white colour bhi nhi chalta ajeeb bohat ajeeb bas ye hi colours hain,0
got what i was looking for seller sent it with good packaging condition expiry too thanks seller is recommended,2
received damaged both scraper and roller because of unsafe delivery,0
authentic product recieved safisfied overall,2
excellent product as shown in the picture nice seller,2
great product,2
i like it very much it s quality is very good,2
not good cooked with great difficulty,0
fresh and appropriately packaged,2
thaxx you so much i am very gald the quality of sound is outstanding i love it,2
i had ordered packs instead of recieving bags received bags now what is the procedure we have to return the item aur u will send me remaining three bags,0
the bulb tube light of refregirator not working and the packing was good,0
this time i got my parcel in a few days,2
good shaper best quality excellent sauna effect,2
rd quality,0
great wow,2
the product was delivered as it was described its very perfect i like its speed of processing fully satisfied,2
this is my second order it s very effective for baby rash good product smiling face with heart eyes,2
the glasses are really cool i loved it it s really awesome the finishing is out of this world and the style and material are really really good,2
worst quality even after charging for hr become power offed after second very very disappointed,0
very good product and very nice,2
i like this this is so good i love this parcel thank you daraz,2
nice headphones with average quality and a good audio base is also good,1
very bad experience it didnt worked well i dont recommend to buy this product,0
good quality but rate is very high not affordable,1
good stuff same product as shown in the picture just zip quality not good may be changed in future designs thank you so much,1
i rcvd this order but paking is not the same as i already received before i m uploading the pics kindly brief me abt it is it the same or different coz paking and also gels are not same,1
excellent quality mabroom dates and prices are very reasonable,2
delivered on time very bad quality cannot hold heavy items zippers we re not good too not recommend this,0
don t order smallest size damage piece money waste,0
who great prodct,0
totally poor pethatic service,0
original playstation seal,2
highly recommended,2
cheep plastic broken down after month sound quality is also very bad,0
very good mashallah airpods are very amazing and quality is,2
good product i am happy,2
kafi low light hai,0
its quality is cheap bad experience,0
they re cute,2
good product with great discount thank u daraz,2
fabric quality is not good and lastic quality is loose but in this price its ok,1
its not my size i m gonna return it,0
not satisfied one side of earbud is not working,0
its too good comfortable in this price range size is perfect good seller packging pr kaam karain thora baqi product achi hay,2
thanks daraz bht hee piyary watch i h jazakiallah mene order liye h aur hee bht ashi i h,2
good product same as in pics,2
so helpful,1
quality and company is okay,1
as per quality price is high packing not satisfactory,0
best one although it got late,2
it was just good not a high quality,1
excellent band i used it for full workout session did stretched it for time than its original length and it didn t snap recommended,2
extreme bad quality extreme light material,0
u send me the wrong item with no stand,0
medum ap k earphane ki chanrgen kam hoti hai sarif min,0
speakers thek hain but jab ap call krty hain to dosry k pass shor jata ha mean k audio songs k liy to thek hain but calk krny k liy trusted ni hain,1
got the delivery on time and in one go thanks,2
it s awesome quality was good,2
it was damaged,0
overall quality was good but i got wrong size just becz of some misundestanding otherwise percent recomended,1
good sound quality,2
good condition and good product recomend to buy,2
it was original product and arrived within a few days good experience with the product and seller,2
packing was save looking good from outside hope it will work from inside as well,1
good quality with reasonable price,2
loved them will order more soon,2
tasteless product,0
perfect very impressive sound amazing orignal gion thanks daraz and seller,2
shirt wesi hii thi jese picture main thi magar kapre ki quality kam thi price kee hissab see value to money nii tha,0
compass not working properly but rest of item is seems fine will use it soon,1
bahut acche shoes hain nice shoes kam price mein bahut acchi chij hai good quality,2
the product was is very good as per the price tag i am surprised that it has touch controls sound quality and battery time is also very impressive,2
the net is good but its quality is not good,1
just received my parcel handfree quality is gud build quality is also great this is my second purchase from this seller highly recommended but the sim eject pin is not that one that shows in pitcher,2
good product and reasonable,2
its totally ruf material i don t know why draz allowed these type of sellers,0
the seller is good and sent the product exactly the same as advertised within the given time quality wise it awesome and a great deal in this price it is made of satin silk strachible fabric with fine stiching size color and overall quality are great and seems lasting product thus recommend to others,2
its not sticking on skin useless thing,0
perfect original,2
i ll receive my order it was good delivery is faster than i thought,1
cheap quality costly,0
defective product you guys are selling poor quality products to your customers one side of the voice is very low and on other side its working properly,0
was good experience but cheez ka farq tha hum is main kafi alu kharab nikly thy as compare to local market,1
allhamdulliah trusted seller anyone can by from this seller thx seller you are a trusted seller my experience with you was aoswome,2
nice quality shoes in this price also delivered on time thank you very much for giving me good quality product,2
i have ordered xl size thats bigger than me but thats my own fault overall product quilty is average in this price range,1
very disappointing it came broken and oil leaked everywhere i would like a refund,0
quality is good i am totally satisfied,2
after months it s not working,1
they look pretty but not bright enough the function of twisting and shortening the wire wors but the more u twist the back comes off overall product is eh for this price i expected better,0
and local peace,0
yepp my little czn loved it so much thanks,2
quality is very good,2
it was broken but packing was nice and delivered on time,1
original i am satisfied,2
needed to use it before submitting a review so far so good i have been using it for my exercise routine and i love it worth all the penny thank you so much seller,2
good quality leather has so much capacity for cards and cash received before due date,2
received my parcel on time seller was quick and the quality of the belt is actually good for the price,2
ak pair chal rha hai ak pair nhi chal rha hai karab hai,0
this is good,2
i have recive my parcel it s really really amazing i love it star struck these bag are very useful,2
very nice same like as in pictures,2
superb going to order more soon,2
very small in size but good,1
