Text,true_label,predicted,error_types
received my parcel today alhumdulilallah one piece is damaged a hole in it overall quality of product is good in this price,2,1,['Other / ambiguous']
aik phal bo bo ke sath khobsorat bottle waqt par achay miyaar ki farahmi aur mein iss se mutmaen hon,2,1,"['Slang / informal', 'Mixed sentiment']"
i got my product and i hope it works good,1,2,['Other / ambiguous']
i ordered two underwears one in skin color and one in black color but received only skin colored underwear kindly send me the black one which i ordered,1,0,['Mixed sentiment']
i thought it would work when i open it and operate it to beat coffee,0,1,['Other / ambiguous']
aslaam o alikum awsome bluetooth quality was good b s delivery thori dair sy hui otherwise product is shown same picture,1,2,['Other / ambiguous']
subse acha true wireless asal masnoaat,1,2,['Negation handling']
my amount was rs and they charged rupees extra for what could u please let me know why u charged extra rupees,1,0,['Negation handling']
i dikhai bhji i not fear,0,2,['Negation handling']
ye kaafi attractive hai sastay rate m e,1,2,['Other / ambiguous']
order received but its too hard so not recommended,0,1,"['Negation handling', 'Mixed sentiment']"
once i bought this type of bag from the local market and used it in past i think the price of this bag should be more lower furthermore the product is good,0,2,['Other / ambiguous']
the led lights were very cool it was awesome acceptthat their wasn t a manual to operate it because i d don t know why but the remote wasn t working but anyways the lights were pretty good,1,2,"['Negation handling', 'Mixed sentiment']"
iss ki qeemat bazaar mein rupay hain,0,1,['Negation handling']
they sent it without the box just in bubble wrap i received this good in twisted and pressed condition,0,2,['Other / ambiguous']
oil is satisfactory,1,2,['Other / ambiguous']
installed in suzuki alto turbo rs the official suzuki app sz viewer marks it as fake obd however other obd apps pick it up and show sensor data also cleared codes on ecu,2,0,['Mixed sentiment']
the quality of the product is good the size of the plate is smaller,1,2,['Other / ambiguous']
roz mara ki zaroriat ke liye bohat mufeed hai,0,2,['Other / ambiguous']
alo axhe size bi bri h but ek alo kharab h u can see in the pic,1,0,['Mixed sentiment']
bohat chota size hy or glow b nai krta night main,1,0,['Negation handling']
normal quality just average,1,0,['Negation handling']
mujhe haqeeqi pikng aur muft tarseel ke sath haqeeqi aur miyaar ki masnoaat mili sab se ziyada ahem tha iss ki qeemat deegar naqad khorda faroshon ke muqablay mein kaam tha,2,1,"['Negation handling', 'Slang / informal']"
jaisay hi meine isse dekha mein iss ka order dena chahta hon aur jo kuch mein ny kya tha iss ka nateeja yeh hai ke yeh mere taraf se bohat bura faisla tha iss waqt ke baad mein ny usay din ke liye koshish ki aur iss ke baad sirf khail hi khelna aur allag kar diya iss ki haalat sirf raddi ki tokri hai agar aap ko yeh order diya hai apne qeemti waqt aur paisa zaya karen ge mein ny fori tor par iss daur ko phainknay ke baad pheink diya jaisa ke iss ke ilawa gharelo dusting kapray bhi nahi ban saka,1,0,"['Negation handling', 'Mixed sentiment']"
ye waqai mein kaam qeemat mein mil raha hai lakin tarseel ke qeemat kaam honi chaiye,0,1,['Negation handling']
they look pretty but not bright enough the function of twisting and shortening the wire wors but the more u twist the back comes off overall product is eh for this price i expected better,0,1,"['Negation handling', 'Mixed sentiment']"
sorry for the late review i was dead but the product was nice,2,1,['Mixed sentiment']
some had done it on front one don t know how as the pin holes were small,1,0,['Negation handling']
anyways quality of sunglasses and box r way better than others even in this price,2,1,['Other / ambiguous']
they are pretty cool and affordable but it s better to use them for glows or shades do not face them towards you because they generate different colors by comparing different light intensities of red green and blue leds that s what they didn t describe you can see in the second image the color is set to orange but if you see directly towards it it is red and green hope you get it i m just using it for table glow so i m fine with it also the quality is not very good so handle it with care,2,1,"['Negation handling', 'Mixed sentiment']"
packing tooti hui thi aur mayar bi acha nhi tha,2,0,['Negation handling']
as for as stuff is concerned just okay not more than that,1,0,"['Negation handling', 'Slang / informal']"
sound is quality build quality is average price should be less,1,0,['Other / ambiguous']
gandi watch he bilkul nakul dedi he ap jese sellar daraz ko badnam karte he daraz pr bohat achi chize bhi milti he,0,2,"['Negation handling', 'Sarcasm / irony']"
taaqatwar speakers hamaray ghar theatre ke nizaam kisi bhi size ke gharon ke liye mufeed,0,1,['Other / ambiguous']
handfree to thek hai lekin bass ni h itni overall theek hai rate bhi cheap hai bht high hai,2,0,['Mixed sentiment']
stuff koi itna ach nai normal h bs,1,0,"['Negation handling', 'Slang / informal']"
not so good just ok,1,0,['Negation handling']
averagely quality,1,0,['Other / ambiguous']
nyc products,2,1,['Other / ambiguous']
good experience as the product is as per the order,0,2,['Other / ambiguous']
just a delivery is little late and that is not matters,2,1,['Negation handling']
